Code,Type,Location,Owner,Condition,Inspector
W5GK,High-rise office building,Brisbane,Brisbane City Council,Good,John Smith
JH9P,Shopping mall,Gold Coast,Gold Coast City Council,Fair,Sarah Jones
N1LQ,Industrial warehouse,Toowoomba,Toowoomba Regional Council,Poor,Tom Wilson
F4YD,Hospital,Cairns,Cairns Regional Council,Excellent,Jane Brown
X7VZ,Data center,Sunshine Coast,Sunshine Coast Council,Excellent,David Lee
K2MT,Convention center,Townsville,Townsville City Council,Good,Michael Davis
U3FA,Stadium,Brisbane,Brisbane City Council,Fair,Lisa Green
G8XE,University campus,Brisbane,Brisbane City Council,Good,Steven White
R6JB,Apartment complex,Gold Coast,Gold Coast City Council,Fair,Rachel Thompson
Q9HC,Hotel,Cairns,Cairns Regional Council,Good,Mark Johnson
A2VD,Skyscraper,Brisbane,Brisbane City Council,Excellent,Karen Wong
B7RE,Church,Toowoomba,Toowoomba Regional Council,Poor,Peter Taylor
C6UQ,Retail store,Cairns,Cairns Regional Council,Fair,Andrew Nguyen
D8YZ,School,Brisbane,Brisbane City Council,Good,Emily Lee
E9TN,Convention hotel,Gold Coast,Gold Coast City Council,Good,Rebecca Smith
H1LB,Museum,Toowoomba,Toowoomba Regional Council,Good,Daniel Kim
I0FP,Amusement park,Gold Coast,Gold Coast City Council,Fair,Samantha Chen
J7DN,Police station,Brisbane,Brisbane City Council,Excellent,Adam Davis
K6MA,Train station,Cairns,Cairns Regional Council,Poor,Anna Jones
L2UH,Airport,Sunshine Coast,Sunshine Coast Council,Excellent,Matthew Lee
M8GF,Bridge,Townsville,Townsville City Council,Good,Olivia Wilson
N5KL,City hall,Brisbane,Brisbane City Council,Good,Eric Chen
O4XC,Car park,Gold Coast,Gold Coast City Council,Fair,Stephanie Lee
P9VR,Water treatment plant,Toowoomba,Toowoomba Regional Council,Poor,Kevin Lee
Q1TY,Public library,Cairns,Cairns Regional Council,Good,Melissa Johnson
R0BA,Community center,Sunshine Coast,Sunshine Coast Council,Excellent,Jessica Kim
S3KJ,Fire station,Townsville,Townsville City Council,Good,Sean Davis
T4NZ,University library,Brisbane,Brisbane City Council,Good,Julia Smith
U7EX,Research facility,Gold Coast,Gold Coast City Council,Fair,Peter Lee
V5MS,Botanical garden,Cairns,Cairns Regional Council,Good,Lucy Brown
W2FG,Waste management facility,Toowoomba,Toowoomba Regional Council,Poor,Tom Wilson
X1HN,Power plant,Brisbane,Brisbane City Council,Excellent,John Smith
Y9LQ,Movie theater,Gold Coast,Gold Coast City Council,Fair,Sarah Jones
Z8RC,Bank,Cairns,Cairns Regional Council,Good,Tom Wilson
A5TD,Art gallery,Sunshine Coast,Sunshine Coast Council,Excellent,David Lee
B1JX,Town hall,Townsville,Townsville City Council,Good,Michael Davis
C9WF,Aquarium,Brisbane,Brisbane City Council,Fair,Lisa Green
D2UQ,Golf course,Gold Coast,Gold Coast City Council,Good,Steven White
E7MD,Police academy,Cairns,Cairns Regional Council,Poor,Rachel Thompson
F9YB,Skate park,Sunshine Coast,Sunshine Coast Council,Good,Mark Johnson
